indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.0004439844120719188,0.0010961394400602778,0.0013001798811897035,0.0013489297487585517,0.0014037386000473012,0.0012959293475738138,0.0011280524604549277,0.0009052173475219247,0.0005788258051888699,-6.345706459413503e-05,0.0005074414766660539
winRateDaily,0.5499247365780231,0.5654791771199197,0.57451078775715,0.57451078775715,0.5780230807827396,0.5704967385850477,0.5662318113396889,0.5612142498745609,0.5476668339187155,0.5248369292523833,0.5461615654791772
PLRatioDaily,0.8619052373734964,0.8787242531342446,0.8725208584018157,0.8787980050841357,0.8744859953544033,0.8898530374435212,0.8863802839037558,0.8787988128361715,0.8896518024595066,0.8976644566606278,0.9458691079886844
targetRet,0.03602010021794699,0.224596041888927,0.2926090502256993,0.30886072872114223,0.32887894361175984,0.2945691646539004,0.2428155867339079,0.17517027443219213,0.0830415213828044,-0.07871415031723017,0.1179566232549294
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,-0.09126039628888138,0.09731554538209863,0.1653285537188709,0.18158023221431385,0.20159844710493147,0.167288668147072,0.11553509022707953,0.04788977792536375,-0.04423897512402397,-0.20599464682405855,-0.009323873251898984
sigma,0.38628844737557627,0.37550212266855193,0.3671258864657245,0.3661773725131975,0.36226724651241227,0.360063676093629,0.35695081820028274,0.35780406174944307,0.3581891449160235,0.36214232384575196,0.17509123929229228
sharpeRatio,0.09324664111149503,0.5981218968692046,0.7970264724250594,0.8434730049028644,0.9078351597554419,0.818102975145158,0.6802494191165173,0.48957039105625744,0.23183706865899936,-0.21735694817807888,0.673686608945728
informationRatio,-0.7589096036982687,0.956252933906767,1.7655659588254298,1.9725408618155438,2.216587739631241,1.9851882983832576,1.3870692448025035,0.5440941113804058,-0.44762483312849716,-1.6143411057102026,-0.026914120743226883
maxDrawDown,0.8995349736425287,0.7722158034702393,0.7331831970753615,0.7103793875644677,0.690271534846493,0.6834642678482683,0.6734297644804781,0.6657738951863806,0.761761413322302,0.9131281780538145,0.7229888090545071
meanRetMonthly,0.009437091119072103,0.022704477833013475,0.026978096293113932,0.027912027460675327,0.02910438219460412,0.02665626935756444,0.022925043325304487,0.01785417900145328,0.011046957168584982,-0.002049987188793106,0.01077228137452852
winRateMonthly,0.5431472081218274,0.5736040609137056,0.5939086294416244,0.5786802030456852,0.583756345177665,0.583756345177665,0.5685279187817259,0.5532994923857868,0.5380710659898477,0.4467005076142132,0.583756345177665
PLRatioMonthly,1.0438975905295984,1.2770292303203639,1.313511127957913,1.4468933542483582,1.4643344898656625,1.4011721168817417,1.3888748497814716,1.3307879663961888,1.182730134137073,1.1684270761136926,1.1468676932960167
meanTurnoverRate,0.8714297393217982,0.9020445618472372,0.8990400727112923,0.8918742980550203,0.8875083185629972,0.8894762092839645,0.8971930472865188,0.9034577776088553,0.8998349131321605,0.8472228981681479,0.0
