,1,2,3,4,5,6,7,8,9,10
20050104,1,1,1,1,1,1,1,1,1,1
20050105,1,1,1,1,1,1,1,1,1,1
20050106,0.9892809372461321,0.991488264267691,0.985592645589382,0.9903966903212557,0.9896445799044559,0.9934687753912484,0.9922226742190313,0.9917241347658893,0.9804487384270338,0.9922142127541576
20050107,0.994754842274131,0.9926424675441992,0.9929548666564029,0.9996463676531063,0.9908379571209326,0.9930433283283174,0.9918825853410047,0.9953106617979544,0.9858766298712318,0.9969448773415901
20050110,1.0066704172275618,1.007038059980264,1.0061752544145084,1.00798830583269,1.0052842151067265,1.00346146475505,1.0057420936381485,1.007538211234609,0.9965349949794542,1.0111917408095568
20050111,1.0058674865293207,1.008370390642925,1.0046772413230713,1.0052547407891244,1.007232155111856,1.0098175082607297,1.002965749783454,1.0079712461393997,0.9934474577415603,1.0158485914634159
20050112,1.0026841412174745,1.009439739983924,1.0037375873536067,1.0055226036322265,1.0092524086859205,1.0054743140421238,1.0024696566130267,1.0095888972985114,0.9889022662432402,1.0123340768757931
20050113,1.0082423375208778,1.019043679508937,1.0062296508796462,1.008458038571166,1.0159694297619593,1.0052982604557892,1.010914895617744,1.012100489798172,0.9955757804140956,1.018102764098806
20050114,0.9899509649824734,1.0004734239927107,0.9849099737188355,0.9872537864283395,0.9929261952574241,0.9823849738638905,0.9842758621395837,0.9894372369805451,0.9711974416193765,0.9901526936469651
20050117,0.9744833847523192,0.98504275901636,0.9703366737653834,0.9733576153046614,0.9820813332820432,0.9736400758369982,0.9746060175057424,0.9754022947751059,0.96027918242368,0.9849649983356862
20050118,0.9812639995877878,0.9956051232369744,0.9801409764238097,0.9862978567741072,0.9943061666747164,0.9856922953596506,0.9861535127003845,0.9872423615881974,0.9767891728022156,0.9958965120414295
20050119,0.9696901287730015,0.9852014619174321,0.968410880499233,0.9752496762827587,0.9831327960287147,0.975277392894808,0.9741462850165106,0.978131674873609,0.9710416882185905,0.9855600468116049
20050120,0.9566311639517228,0.9739089633242372,0.956925304032357,0.9615321294498629,0.9710144299968302,0.9664034766082512,0.9626225256041615,0.9687429961766073,0.9600337127167107,0.9804184933790636
20050121,0.9985049371312236,1.0243151325848538,1.0014514679365472,1.0045098244739863,1.0174570387519588,1.0144518600913326,1.004568027036627,1.014727976017819,1.0009716383634046,1.019817825521443
20050124,0.990550134847838,1.0151658125174918,0.9899480860324287,0.9992620123427449,1.0062901614253044,1.0062803351683336,0.9941263067129538,1.0098472522512125,0.9960598516490946,1.0129325858441822
20050125,0.9856922519593275,1.0089548309998984,0.9828535817716678,0.9933108432691519,1.0006563032193345,0.9991339646184862,0.9875370933363988,1.0015578250878148,0.9909141244399063,1.0079051874775524
20050126,0.9760267220001313,0.9976020341278655,0.9703729854238919,0.9821980202407129,0.9887917413917184,0.9897233336043975,0.9729825629516397,0.9884928779490039,0.9740251837947983,0.9933614785256049
20050127,0.9657625506668083,0.9855403414302165,0.9552318529986136,0.9675873985474459,0.9704491923155185,0.9737122702024937,0.9583813054581797,0.973458568627195,0.9558053967700724,0.978112951570465
20050128,0.9446779514172791,0.9633836218214971,0.9381095035278701,0.9501007762400973,0.9469391603981026,0.9571384960569513,0.9364828186468971,0.9494988537970974,0.9276998570486388,0.9475017465201657
20050131,0.9196957688657079,0.934390559520331,0.9090562124337905,0.9213446717726806,0.9224136164104935,0.9304030372688374,0.9079403918084193,0.9209693300931805,0.9007332272682466,0.9176077639967081
20050201,0.9138517360720458,0.9355041883585273,0.9049644070839096,0.9162344234952783,0.9178075040949933,0.9308012886523389,0.9095668787762295,0.9162767911232899,0.8908558654876058,0.9111810363962394
20050202,0.9580432310257326,0.9847181028787718,0.9542029808683021,0.9664397242759463,0.9667296360695784,0.9839361915267899,0.9592202297979829,0.9665155475631478,0.9380326105037418,0.9662382050124808
20050203,0.9404872699058714,0.9645015420411136,0.9367251384894199,0.9449032854398619,0.9458447102150931,0.9605642572277621,0.9421213515419724,0.9459217841268679,0.9135952177992065,0.9450271911886684
20050204,0.9672916811268532,0.9933126325136984,0.9682319712995644,0.9743459049778488,0.9739533025297696,0.9918473790010662,0.9676860438261059,0.9712096140232891,0.9368174060944727,0.9713829788704542
20050216,0.9641809110460854,0.992310246307602,0.9682100806437829,0.9755446053217621,0.9727280648404499,0.9933542079904826,0.9689399812584458,0.9709829651935139,0.9389157862947777,0.9783357894520224
20050217,0.9693167035051289,0.9975676454251282,0.9745022548884269,0.9779649630148345,0.9775208332252932,0.9981927205381221,0.9733806093916924,0.9775460645622985,0.9465451230531128,0.9876301702025002
20050218,0.9628007893722431,0.9866899944341013,0.9646553932537563,0.96657600425329,0.9651641752026737,0.9870090520359212,0.9633069710870177,0.9658717972522093,0.9387580078715152,0.9763425136691493
20050221,0.9800238225437108,1.00309866541321,0.9824414108436146,0.9851661946255459,0.9867906921379436,1.0047430490592533,0.9846908597413809,0.9869336372666577,0.9589866915669,0.995159912437375
20050222,1.00517063778177,1.0304548687450676,1.0087527725844934,1.0100135907963892,1.0115670252596078,1.0332733647718366,1.0096582527532036,1.015201375787577,0.9833944339742898,1.0231770527545039
20050223,1.011377256101754,1.0390278612462318,1.0139159474168884,1.0168110238284414,1.0202099218141667,1.0443421369542338,1.0155793507157143,1.02200302790943,0.9951202103061192,1.0302165550620217
20050224,1.0221217718064035,1.0472097436534011,1.0221764599298169,1.0245487295430469,1.0278518449283185,1.051297979277221,1.0207098535362578,1.0313865819272645,1.0005582477070518,1.038843676224335
