indicators,values
count,8509673.0
mean,0.021907972026015445
std,0.010919119176853835
min,5.42e-20
25%,0.014250043
50%,0.019159333
75%,0.02660768
max,0.181588764
Skew,1.5969061128037052
Kurt,3.733609577070293
TR,0.45823012373700756
