,TMB,1,2,3,4,5,6,7,8,9,10
20050104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20050105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20050106,0.002933275508025468,0.010719062753867914,0.008511735732309011,0.014407354410618023,0.009603309678744343,0.010355420095544132,0.006531224608751551,0.00777732578096868,0.008275865234110724,0.01955126157296616,0.007785787245842446
20050107,0.0021700903608981026,0.005245157725868976,0.0073575324558008415,0.007045133343597132,0.00035363234689367307,0.009162042879067411,0.006956671671682568,0.008117414658995292,0.004689338202045645,0.014123370128768187,0.0030551226584099034
20050110,0.004477192051730694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034650050205458083,0.0
20050111,0.009855921674718937,0.0007976103047235839,0.0,0.0014888192537677591,0.0027119015446388506,0.0,0.0,0.0027604928462835465,0.0,0.006552542258439709,0.0
20050112,0.009563920812934112,0.003959862077864362,0.0,0.002422706233537908,0.002446161514172096,0.0,0.004300969415836686,0.0032537536668910683,0.0,0.01109773375675982,0.0034596834775936225
20050113,0.009717523017310548,0.0,0.0,0.0,0.0,0.0,0.004475311398318138,0.0,0.0,0.004424219585904443,0.0
20050114,0.0004967531086503829,0.018141841358676025,0.018223218385668316,0.021187685278577395,0.021026409956402037,0.02268103136718802,0.027165833601051292,0.026351410582274526,0.022392295079460278,0.02880255838062351,0.027453093575068976
20050117,0.010876898294781223,0.033482974789143416,0.03336551825625533,0.0356707607283141,0.034806032501100925,0.03335542929461577,0.03582571318855632,0.03591684944934381,0.03625943806270093,0.039720817576319956,0.03254854709333044
20050118,0.014972079821428452,0.026757791186815094,0.023000541334260993,0.025927157317447103,0.021974322132883528,0.021322750914187005,0.023890666089392165,0.024494033102785084,0.024560928939903692,0.023210827197784445,0.02181140533198811
20050119,0.0163666860389845,0.03823704610805234,0.03320978116248463,0.0375846312492899,0.03292984042792546,0.032320493876413336,0.03420431422843151,0.036371618185292554,0.033562689937376655,0.028958311781409507,0.03196407910355392
20050120,0.024481923972410113,0.05118925445648259,0.0442912478554891,0.04899909956359105,0.046532336821658915,0.044248378394280974,0.042991957752102294,0.047770955025914774,0.04283911929556605,0.039966287283289326,0.03701421118633286
20050121,0.02098383342760879,0.009657797562436343,0.0,0.004748600817837123,0.003915100030114971,0.0,0.0,0.006278341142889721,0.0,0.0,0.0
20050124,0.022173604576569805,0.017547569681057307,0.008932134043820872,0.01618076433444815,0.009118898235419226,0.010975281413701854,0.008055113548969484,0.016607321721707535,0.004809883911706336,0.0049070188665293335,0.006751440801439412
