indicators,values
mean,0.08867835878104088
median,0.09103641456582645
mode,0.10000000000000009
std,0.03477821949352427
skew,15.797567711849858
kurt,1588.7107054392495
count,9260665.0
min,0.0
P05,0.04134366925064592
P25,0.06546854942233638
P75,0.10564663023679421
P95,0.1368528959507942
max,3.7465181058495816
TR,0.002628083901741962
