,return,value
20050104,,1.0
20050105,0.002303930422318117,1.002303930422318
20050106,-0.004002245475791576,0.9982924640514172
20050107,-0.0008712959110502962,0.9974226559094569
20050110,-0.0007941386212557949,0.9966305640566837
20050111,-0.0008600195789152728,0.9957734422586496
20050112,0.0011041433403062672,0.9968729188733734
20050113,0.0013782057055787226,0.9982468148179016
20050114,-0.0009562692726573473,0.9972922220623631
20050117,0.0033460330340159654,1.000629194781951
20050118,0.003706694018533789,1.0043382210330194
20050119,0.004007265070671513,1.0083628705053054
20050120,0.0032356434930582104,1.0116255732658974
20050121,-0.007317470625029507,1.0042230328499955
20050124,-0.002419013059883183,1.0017938042184957
20050125,0.0022728913583829856,1.0040707726989855
20050126,0.003945165410745886,1.0080319979813783
20050127,0.0014928137957395341,1.0095368020545117
20050128,-0.002043877042769631,1.0074734329609614
20050131,-0.003591501087862683,1.0038550910304893
20050201,0.0027983544351172476,1.0066642333766895
20050202,0.00044040174406739796,1.0071075700607588
20050203,-0.0024506773157047766,1.0046394743843363
20050204,0.0022639198957717446,1.0069138976784726
20050216,-0.005262161749670447,1.0016153538808974
20050217,-0.0014319063872673043,1.0001811344580904
20050218,0.0008604310553193498,1.0010417213671226
20050221,0.0019116108208347693,1.0029553235537951
20050222,0.0029769362559309877,1.0059410576195615
20050223,0.0001292984357734086,1.0060711242247922
20050224,0.0016632622841478211,1.0077444843808856
20050225,0.0009073502510155715,1.008658861591748
20050228,0.00034718089547598036,1.0090090486785452
20050301,0.0018827562037033842,1.0109087667245376
20050302,-0.006839572700091877,1.003994582721365
20050303,0.0022879658729262897,1.0062916880632342
20050304,-0.0013443850170783362,1.0049388445949916
20050307,0.0009965863632989446,1.0059403529434645
20050308,-0.001693988576087338,1.004236301477353
20050309,-0.000587442890467943,1.0036463700017002
20050310,-0.0018024952849548317,1.0018373021520102
20050311,-0.0013602886682152543,1.0004745142224976
20050314,0.0038384172907326365,1.0043147528968266
20050315,-0.0007254104491106056,1.0035862124808794
20050316,0.0016726548992465565,1.0052648658760017
20050317,0.001602031297162295,1.0068753316530727
20050318,-0.0015582984119132705,1.0053063194227632
20050321,-0.003311913221696671,1.0019768321316118
20050322,0.005434214730888818,1.0074217893927908
20050323,0.0017368986417937871,1.0091715789305007
20050324,0.0013630812649080594,1.0105471618028186
20050325,2.0179861595743913e-05,1.0105675545046797
20050328,-0.0004801898425737996,1.010082290229772
20050329,-0.0015026911796290603,1.0085644484815441
20050330,-0.001459891143086211,1.0070920541759742
20050331,-0.000846200515764766,1.006239852360308
20050401,-0.004999632728032145,1.0012090226621972
20050404,-0.0034066001079274422,0.9977983038975382
20050405,0.004780989866935572,1.0025687674777177
20050406,-0.0033595268803025408,0.9992006107540246
20050407,-0.006047173913775362,0.9931582708860444
20050408,0.001085952992569042,0.9942367940824078
20050411,0.002555850939329641,0.9967779151264795
20050412,-0.004487577825793124,0.9923047966573176
20050413,-0.006361777922965245,0.9859919739090907
20050414,0.0032660634509374467,0.9892122862579927
20050415,0.0009672735066421009,0.990169125094935
20050418,0.0035014944145685054,0.9936361967559332
20050419,-0.0028536039993646983,0.9908007525309569
20050420,0.004726621517537201,0.9954838926874617
20050421,0.0029416437539578066,0.9984122516625514
20050422,-0.004556434994245361,0.9938630511403929
20050425,0.00012551542589524234,0.9939877962845383
20050426,0.0016292881339542015,0.9956072888063199
20050427,0.003383282863062973,0.9989757098848788
20050428,0.0021447446947614086,1.0011182577388498
20050429,0.004091362043974997,1.005214194980093
20050509,0.0016558392583234036,1.006878668107165
20050510,0.0030390775512218826,1.0099386504642138
20050511,0.004586341389606603,1.0145705738978013
20050512,-0.0009490213579172214,1.013607724754058
20050513,-0.0023542855196389944,1.0112214027650752
20050516,0.0037746448043837685,1.015038404379104
20050517,-0.0013649937465249375,1.0136528833046439
20050518,0.0014694746223130831,1.0151424204924946
20050519,0.0007005438522424546,1.0158535722743212
20050520,-0.000844765044223969,1.0149954146864137
20050523,-0.0005547321270974806,1.0144323641210307
20050524,-0.0073658362083637505,1.006960221482452
20050525,-0.0028091252372330327,1.004131544111396
20050526,0.005198400433498019,1.0093514219655937
20050527,0.0026335920693670465,1.0120096418656865
20050530,0.007480466637093215,1.0195799462280795
20050531,-0.0010686757679260785,1.0184903458460821
20050601,-0.0006555244346049399,1.0178227005379707
20050602,-8.221741943136192e-05,1.0177390177820937
20050603,-0.0022907839542299214,1.0154075975705648
20050606,-0.0031867608811914395,1.0121717363601623
20050607,-0.0014556119891015904,1.0106984070456866
20050608,0.004279147262728142,1.0150233343676398
20050609,0.009550938204488818,1.0247177595102992
20050610,-0.005088872808655595,1.0195031011673807
20050613,0.006295164271281205,1.02592104066431
20050614,-0.008022556961236,1.01769053067785
20050615,-0.003364012542217472,1.0142670069685538
20050616,-0.00020667239653471628,1.0140573859754975
20050617,-0.009399625343947927,1.0045256264700646
20050620,0.0011491351010406853,1.0056799621273362
20050621,0.0026341585073538856,1.0083290825552493
20050622,-0.001280627785902962,1.007037788314795
20050623,-0.005076631145780726,1.0019254289136579
20050624,3.865714436980527e-06,1.0019293020712532
20050627,0.0018865240365623648,1.0038194657825468
20050628,0.0037840751244392814,1.0076179940524426
20050629,-0.004061360377329545,1.0035256942559136
20050630,-0.0006908076112444594,1.0028324510682423
20050701,-0.006278120377865834,0.9965365482216056
20050704,0.0030297120188537505,0.9995557669789797
20050705,-0.002734348570794165,0.9968226330961117
20050706,0.0013017046226493764,0.9981202017255745
20050707,0.0019250711853550696,1.000041654165437
20050708,-0.0016628604098176715,0.9983787244905569
