indicators,values
mean,0.0006125555815569484
median,0.00014543964925457087
mode,0.0
std,0.0025440447878724366
skew,107.78560163533955
kurt,35337.81446107634
count,9843345.0
min,-0.027364065335196034
P05,0.0
P25,5.1727137770547345e-05
P75,0.00041475399515769195
P95,0.0024884877472287166
max,1.4573242821135097
TR,0.0344690140745858
