indicators,values
ICMean,0.01622347380568192
IR,0.1543033611647871
SignRatio,0.6698444555945811
PosSignRatio,0.3981435022579027
NegSignRatio,0.2717009533366784
ConSignRatio,0.38484696437531357
RevSignRatio,0.6151530356246864
