indicators,values
mean,0.042885098442424066
median,0.0
mode,0.0
std,0.28352602653127146
skew,3.5641552751261827
kurt,76.65967504361494
count,9792702.0
min,-0.9040438656614119
P05,-0.2941176470588236
P25,-0.11412429378531075
P75,0.14102564102564097
P95,0.524113442910705
max,28.918287937743195
TR,0.055950120899794675
