indicators,1,2,3,4,5,6,7,8,9,10,TMB
meanRetDaily,0.0011302155702485892,0.0010744974492961227,0.000977635545763033,0.0009697713145633521,0.0009927499960210911,0.000949065824237049,0.0009669108585406798,0.0009255249487901342,0.0008634526726227526,0.0005892902098618823,0.0005409253603867065
winRateDaily,0.5642247867536377,0.564977420973407,0.5594581033617662,0.562468640240843,0.5629703963873558,0.5674862017059709,0.5674862017059709,0.5609633718013045,0.5579528349222278,0.5544405418966383,0.5160561966884094
PLRatioDaily,0.8916128487158546,0.8849219106510906,0.8926106387886467,0.8826153725583538,0.8828503954328242,0.8613842440847149,0.8625933783207327,0.8790138735746906,0.881978160848391,0.8625496284193905,1.1540812716002775
targetRet,0.23862780269112704,0.22523317885771754,0.195290850659535,0.19503402488127075,0.20148336795306498,0.18826960683440785,0.1929675742799175,0.17761452311213843,0.1591678115482702,0.07919909380064127,0.136152899746099
benchmarkRet,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838,0.12728049650682838
excessRet,0.11134730618429867,0.09795268235088916,0.06801035415270662,0.06775352837444237,0.0742028714462366,0.06098911032757948,0.06568707777308913,0.050334026605310056,0.03188731504144182,-0.048081402706187104,0.008872403239270632
sigma,0.3679079320664879,0.3595794767501501,0.3610651683324055,0.35625068425946843,0.3572157342972236,0.3573570613018282,0.35903192389983246,0.3662069936220938,0.3669522345161573,0.37462641972981403,0.12353729602676636
sharpeRatio,0.6486073875895736,0.6263794054470422,0.5408742459470514,0.5474628779638256,0.5640383348439503,0.5268389160929242,0.5374663405523632,0.4850112810664321,0.43375621287097477,0.21140819127962412,1.1021197980292468
informationRatio,1.0096396723172691,0.9971573904693819,0.6981307570549061,0.7746624578077057,0.9275192626020997,0.8059728108905595,0.8809981712089289,0.5911741617723891,0.4007492611476083,-0.5314783961278585,0.024284788850334686
maxDrawDown,0.7214818945923156,0.7166144108228931,0.6936022495813541,0.6961994050280513,0.7121942465117163,0.7112022228923786,0.7184092832300332,0.7290173566298394,0.7271439431361848,0.8027782376072974,0.3333274189297042
meanRetMonthly,0.023442897230294257,0.02166771815459014,0.019771648692458642,0.019801731375243724,0.02020351298522359,0.019446328154936653,0.019603290354772717,0.018884182355615994,0.01762815247052537,0.011848253134432609,0.01177162308896836
winRateMonthly,0.5685279187817259,0.5634517766497462,0.5634517766497462,0.5380710659898477,0.5482233502538071,0.5685279187817259,0.5685279187817259,0.583756345177665,0.5634517766497462,0.5532994923857868,0.5989847715736041
PLRatioMonthly,1.3643446919351268,1.3697572230584234,1.2878785536709876,1.440449359842824,1.4028360051865962,1.2623113766723248,1.2692206737597527,1.1576473575213695,1.2089827676443499,1.0842167490022199,1.4000194573778069
meanTurnoverRate,0.06239574184384488,0.14066863473355914,0.17965968469097593,0.20052606532845124,0.19741717053337832,0.19595049796876665,0.18517205679897814,0.1626530800433882,0.12274664226383405,0.05530784569182725,0.0
