,return,value
20050104,,1.0
20050105,,1.0
20050106,0.0020542889882621497,1.0020542889882622
20050107,0.0023049144300402234,1.004363938378635
20050110,0.000675574418345171,1.0050424609621118
20050111,4.2405443847216926e-05,1.0050850802337543
20050112,0.002885247430655505,1.007984999379089
20050113,-0.004707117308264386,1.003240295742041
20050114,0.007311193535760388,1.0105751797070845
20050117,0.004658323152971842,1.0152827654645327
20050118,0.0001939385213391917,1.015479667902808
20050119,-0.00032246458337593237,1.0151522116747709
20050120,-0.004141334085785219,1.0109481272183019
20050121,0.007286443321678299,1.018314343448435
20050124,0.002820879210554442,1.021186885209678
20050125,-0.00569202357986392,1.0153742653796167
20050126,0.0030990415301410303,1.0185209523966647
20050127,0.00228439165446382,1.0208476531602164
20050128,0.004967458535873742,1.0259186715487336
20050131,0.003776474494536445,1.0297930272453062
20050201,0.0020292928649334515,1.0318827788878533
20050202,0.001876643298258901,1.033819254789442
20050203,0.004370276355574822,1.0383373306345864
20050204,-0.0008157501914091876,1.0374903067583738
20050216,0.0021968086592364868,1.0397694744481347
20050217,-0.0022089899063479452,1.03747263417415
20050218,0.0032810468247322947,1.0408766304662538
20050221,-0.0012618893979932308,1.0395631592816494
20050222,-0.002363638628029959,1.0371060076420946
20050223,0.0001083060052095991,1.0372183324507611
20050224,0.0037631240533181538,1.0411215137061491
20050225,0.004884266224706015,1.046206628351359
20050228,4.896246305077182e-05,1.046257853204743
20050301,0.00782522412959084,1.0544450554034148
20050302,-0.004107550119403686,1.050113869490188
20050303,-0.0007564528965907395,1.049319507811862
20050304,0.0015435815676914594,1.0509392180627395
20050307,-0.004583001089131679,1.0461227624817468
20050308,-0.0014812147198208468,1.0445732300472192
20050309,-0.0001558144307860017,1.0444104704639652
20050310,-0.0002788200353389392,1.044119267899682
20050311,-0.0020946411976644555,1.041932212665864
20050314,0.0014737816963469562,1.0434677932897254
20050315,0.0012955860030813577,1.0448196955573779
20050316,0.006291539283949438,1.0513932197166214
20050317,0.0038368477249851804,1.0554272553997561
20050318,-0.0011782152220533443,1.0541837349416743
20050321,0.002465770019009344,1.0567831095898208
20050322,-0.006707527205593755,1.049694708131835
20050323,0.00733912041746276,1.057398543996388
20050324,0.0036017757733410437,1.0612070564549203
20050325,-0.0017337270565827663,1.059367213068508
20050328,-0.003416498385592954,1.0557478866953092
20050329,0.0031310571057265417,1.0590534936178024
20050330,-0.008361311196233075,1.050198417784206
20050331,-0.001179267731835524,1.0489599526780884
20050401,0.0027145536384804644,1.051807410734251
20050404,0.0026605099115729136,1.0546057547755752
20050405,-0.003108446390031874,1.0513275693242363
20050406,-0.004010653251884395,1.0471110589895303
20050407,0.004281105108478529,1.0515938514933147
20050408,0.0011266476271647348,1.0527786272108408
20050411,0.0010897049561024697,1.0539258452985913
20050412,0.007225921163720898,1.0615414303691268
20050413,0.005208981346909752,1.0670709798788915
20050414,-0.004333646524190302,1.0624466714358751
20050415,-0.009888331506639331,1.0519408465405917
20050418,-0.004257706949829422,1.0474619906874665
20050419,0.006503695102825436,1.0542743641066963
20050420,0.00021765920864944,1.054503836630487
20050421,-0.00277051292070888,1.0515823201261654
20050422,0.008953119554900114,1.0609972623600743
20050425,0.010956220275743202,1.0726217820784518
20050426,-0.00013308565444613424,1.0724790315066108
20050427,0.004427974915544863,1.07722794175557
20050428,0.005281661492460919,1.0829174950941431
20050429,0.01018089403275373,1.0939425633579116
20050509,0.002736254534355914,1.0969358686572246
20050510,0.0031221032836486143,1.1003606157347112
20050511,0.00019086387288276118,1.100570634823398
20050512,0.004349006749567399,1.1053570239426207
20050513,-0.0014398701589288364,1.1037654533488832
20050516,0.0067620007254557985,1.1112291161451615
20050517,0.0037622586686916187,1.1154098475202812
20050518,-0.002145909685530375,1.1130162787251514
20050519,0.003918067639499763,1.117377151789061
20050520,0.00124273833842857,1.1187657592140734
20050523,0.0010073226628698854,1.1198927173177726
20050524,0.006143506205976194,1.126772785176642
20050525,0.0008766499799337988,1.127760570516157
20050526,0.007267353652799606,1.135956405417781
20050527,0.002024273071524213,1.1382558913796939
20050530,-0.0012756577798403446,1.1368038663964064
20050531,0.0019139092822020847,1.1389796058683457
20050601,-0.002936703483980941,1.1356347604916088
20050602,0.005261179444680943,1.1416095387501723
20050603,-0.0015867948007271735,1.139798038669623
20050606,-0.001442819026957122,1.138153516372542
20050607,0.0022931027805930416,1.1407634193656777
20050608,0.007044518267121033,1.1487995481118627
20050609,-0.005634193576896138,1.1423269890767498
20050610,0.005226576655809171,1.1482974486511592
20050613,0.0026790639660682694,1.1513738109681688
20050614,0.006035494879896568,1.1583229217091142
20050615,-0.0003342583969186859,1.1579357425461896
20050616,-0.002461400814210467,1.155085598566683
20050617,0.005299902039418908,1.16120743908623
20050620,0.0038817934023694795,1.1657150064620572
20050621,-0.003909718771875032,1.161157388618636
20050622,0.0037618327921591734,1.1655254685599994
20050623,0.002548818763423626,1.1684961817435133
20050624,0.0011519117960651151,1.1698421862789208
20050627,-0.0026705118694298844,1.166718108835103
20050628,0.0022770389640990422,1.1693747714290406
20050629,-0.0012059314314486966,1.167964585637031
20050630,0.0008844079045636152,1.1689975427488188
20050701,-0.0044692353977853275,1.1637730175508418
20050704,-0.005128040408810571,1.1578051424901576
20050705,0.005350166565132187,1.1639995928524465
20050706,-0.004763734112825631,1.15845460828466
20050707,0.0015567728692186763,1.160258058989059
20050708,-0.00252585215286108,1.157327418672887
20050711,-0.002072524022088986,1.1549288297962652
20050712,-0.003819305572820668,1.1505178036804131
20050713,-0.005539705372270163,1.1441442740224723
