,TMB,1,2,3,4,5,6,7,8,9,10
20181219,0.0007309185085239145,0.4240987650605176,0.4097271777273014,0.46136551680293014,0.5702515696629986,0.515643153061015,0.5720925034216835,0.5376200220714469,0.5717147066118609,0.613684635442139,0.6958344655821649
20181220,0.0006926934707912613,0.42123066488588545,0.4075989339909606,0.4596717551494247,0.5693184238441185,0.5142133398410174,0.5705427804415338,0.5362317289103911,0.5699269927109911,0.6110652410433117,0.6943312972977576
20181221,0.0,0.4233947268901135,0.4103311561024138,0.46166544145696853,0.5704532728189939,0.516429774419606,0.5726233588580774,0.537663892748846,0.5716261692792253,0.613069955209817,0.6960459959462133
20181224,0.000645322720117858,0.42202910382647707,0.40999983325733635,0.46081445673758503,0.5697089023326811,0.5161983604743496,0.5722301720584719,0.5368249597864103,0.5720185335957456,0.6123629279287677,0.695129967531561
20181225,0.006034987577261952,0.4233114880071127,0.4124743076310037,0.46419722644880657,0.5716930550227759,0.5183276901906522,0.5753668225523993,0.5389063063000976,0.5745280886984814,0.6127680705995857,0.6941621955078008
20181226,0.007459161272472259,0.4160910194173547,0.4038442491332471,0.4570519821770319,0.566021505115226,0.5128440975799358,0.5699465096260865,0.532569175845062,0.5694848679433628,0.6080246035053416,0.6898947212707088
20181227,0.004027279033037456,0.4310686795634905,0.4195907493834108,0.4709363812905486,0.5762586189593928,0.525668435112189,0.5800937461752071,0.5456807946006396,0.580486502304547,0.6197666673064295,0.6989213741699959
20181228,0.0033829626251700162,0.42994806845744493,0.4187237645274673,0.4695178478901382,0.5753274119042344,0.524281755553591,0.5799045483432564,0.5446861008629496,0.5797918214769395,0.6194617332690382,0.6985231207449254
20190102,0.002521724651378232,0.43290087937120336,0.42241163941462456,0.4715868320849367,0.577172163896668,0.5276738113023525,0.5829569110588182,0.5477308461662213,0.5820267564750772,0.6221672732911931,0.7003452649391027
20190103,0.0004422476256784602,0.44185964419961676,0.4301297260526613,0.47863828108744266,0.5821098049358364,0.5331774024233733,0.5875684909069341,0.5537622754991547,0.5882813161194799,0.6278723436385334,0.7057037697788607
20190104,0.0,0.4170136648160935,0.40404315866176066,0.4562716843303678,0.5656013799882882,0.5151806520010294,0.5708078616840576,0.536184486347608,0.5713550357533694,0.613429798674743,0.6934511088723712
20190107,0.0,0.4087785014472852,0.39580011826893224,0.45002469893244845,0.5607138725702527,0.5083115100560027,0.5660603031609288,0.5312486510967835,0.5651761598315375,0.6079286368291603,0.6892166549979205
20190108,0.0,0.4072612092939569,0.39473092118006214,0.44833899391395415,0.5597326198149186,0.5074152379240855,0.5637599641522493,0.5300890856540595,0.5643655154727718,0.6067669853939981,0.688703371521133
20190109,0.0,0.40626864664105866,0.39273613791755824,0.44761632139812657,0.5593138783549654,0.5072303883100753,0.5639944147222826,0.5298511532060255,0.5641405909268937,0.6058398213622831,0.6892273692268897
20190110,0.0,0.4062057808760179,0.3937068819558531,0.44643895252386645,0.5600387228106916,0.507149120179828,0.5641466053246927,0.5297602426144028,0.5640924551015959,0.606012468549548,0.6893752343270221
20190111,0.0,0.40091288905407996,0.3865862890969274,0.44178758979789545,0.5561018725810629,0.50222727255395,0.5604657621202318,0.5258845807927595,0.5587682915917728,0.6029623739956008,0.6869980748706246
20190114,0.0,0.4046295751015422,0.3900587520371679,0.4465769108413805,0.5594818907722312,0.5058724990199142,0.5630393801033263,0.5285169331082397,0.5616900863849126,0.6062872287842092,0.689960553737616
20190115,0.0,0.3948290205131645,0.3806578761262621,0.4384232519626322,0.5536096368863532,0.4991453855916861,0.556747771486429,0.5227083170067723,0.5544995744333763,0.6012188101297945,0.686518461912502
20190116,0.0,0.3961835518648884,0.3825460701186525,0.4386164933032568,0.5546489767908851,0.49988341064299924,0.5570603420140158,0.5237392806123653,0.5563153480706173,0.602137600803941,0.6881327035579528
20190117,0.00042904755044326226,0.40200795093534747,0.3874237128175124,0.4433193932317504,0.5590907926069586,0.5044331079298405,0.5611400323696782,0.5282705788650139,0.5596201402346783,0.6062052897521115,0.6910071621683915
20190118,0.0,0.3974363799738546,0.3827351765977586,0.4365267792562998,0.554750511366771,0.5002191324112244,0.5572021680354371,0.5241628176484342,0.5565987296196533,0.603042667796248,0.688835651394625
20190121,0.0,0.3943590228459365,0.3787661568042062,0.43409914378099657,0.5535435954436696,0.49793481916936233,0.5557418084260071,0.5217171648829193,0.5541802204128115,0.6010532880900705,0.6876813667725054
20190122,7.893227951860649e-05,0.40210333003019294,0.3860976769122393,0.4407281512354855,0.5597702727032967,0.5035681970628545,0.5606601860247267,0.5270657563385713,0.5591757280398066,0.6059639750215462,0.6916503207423824
