dates,IC,pvalues,显著性
20050104,,,
20050105,-0.15425327766637076,0.00278018003532042,负显著
20050106,-0.10712779260326682,0.035864008581507144,负显著
20050107,0.044092544782154644,0.3945404910472605,不显著
20050110,-0.0014400287561754435,0.9777975505403266,不显著
20050111,-0.03698442601028838,0.4746019538221845,不显著
20050112,0.13247312253890386,0.011073587939789506,正显著
20050113,-0.05515588858820388,0.08407303364065372,不显著
20050114,0.0006410142851929673,0.9837749966132866,不显著
20050117,-0.014990389590882749,0.6355385038003067,不显著
20050118,0.05955106582947634,0.06132732714329768,不显著
20050119,0.037478002522762004,0.23731852820820246,不显著
20050120,-0.046927693024235544,0.14028094245416403,不显著
20050121,-0.0538715024226049,0.0908976483074901,不显著
20050124,0.06395637769796952,0.04666574871054901,正显著
20050125,-0.038037410907889195,0.23298340626202588,不显著
20050126,0.015049924227275208,0.6421105820488416,不显著
20050127,-0.032451611724466006,0.3179668281164462,不显著
20050128,-0.04607400577330856,0.15832740502744697,不显著
20050131,0.008911885429320353,0.7842791369193871,不显著
20050201,0.010332919733441468,0.7505583154480396,不显著
20050202,0.014643138786390425,0.6502817545116408,不显著
20050203,-0.02191475258171702,0.49385225389510656,不显著
20050204,-0.01766854851273102,0.5724339222929422,不显著
20050216,0.00570768342455432,0.8576529623692419,不显著
20050217,-0.04088632096076753,0.19618076348710473,不显著
20050218,0.023042727730139673,0.4660297959711299,不显著
20050221,0.0034453952822898937,0.9145238499146007,不显著
20050222,0.006621897556514509,0.8389040127040741,不显著
20050223,-0.06117522179430554,0.0589180485034646,不显著
20050224,-0.0973260703790101,0.0027015505186752495,负显著
20050225,-0.009332095387907826,0.7704591954885657,不显著
20050228,0.0026335387354678246,0.9348487217598886,不显著
20050301,0.019309491236263455,0.5513865188606082,不显著
20050302,-0.060227494231543395,0.05655064969407519,不显著
20050303,0.005763830015624542,0.85605205953589,不显著
20050304,0.03296343223462089,0.3001361618650049,不显著
20050307,-0.021797777368116226,0.4968252843810903,不显著
20050308,0.0709051989332649,0.02606011826251951,正显著
20050309,-0.039175692824844725,0.22307785905462013,不显著
20050310,0.001779813500832232,0.9548818336770062,不显著
20050311,-0.024301580338807485,0.4420185056259054,不显著
20050314,0.05336647867765085,0.09182626124681965,不显著
20050315,-0.02224099733180404,0.4808164376774201,不显著
20050316,-0.040716383146889516,0.20562602327371166,不显著
20050317,0.027135298800759388,0.3946907234207794,不显著
20050318,-0.013895201757418301,0.6663897429830876,不显著
20050321,-0.010466563356030849,0.7464126379943771,不显著
20050322,-0.04221688127253033,0.1924027836476033,不显著
20050323,-0.05746114898290402,0.07409725509863879,不显著
20050324,0.044389876561360196,0.1628294726827263,不显著
20050325,0.013973272452009508,0.66332398036888,不显著
20050328,-0.026817596349340094,0.4132465346023926,不显著
20050329,0.05181773159988756,0.11449381391317127,不显著
20050330,0.015176053097245937,0.6387966634991612,不显著
20050331,-0.04962404112124614,0.12285660773881517,不显著
20050401,-0.020852643347888063,0.50610885028636,不显著
20050404,0.0224036987105588,0.48359042706665545,不显著
20050405,-0.0005640246937347116,0.985758994385688,不显著
20050406,-0.0857028731783979,0.007920301465758423,负显著
20050407,0.025702170491670902,0.4229923353293268,不显著
20050408,-0.0759050358357568,0.020006576229061556,负显著
20050411,-0.12636655792753787,0.00010070195789321887,负显著
20050412,-0.011178042544193682,0.7261835451349141,不显著
20050413,0.0007494506079454412,0.981663166811879,不显著
20050414,0.037799688105138465,0.247708044937006,不显著
20050415,0.00035229533710114146,0.9915463714099519,不显著
20050418,-0.059367947709727364,0.07570618817338651,不显著
20050419,0.02793534303254386,0.40229745686149165,不显著
20050420,-0.04558140426962313,0.17475344528279246,不显著
20050421,-0.057327499701943355,0.0879420702167592,不显著
20050422,-0.0058318357355991455,0.8655799878716566,不显著
20050425,-0.03827547848553314,0.2638634717621361,不显著
20050426,-0.08715000182024235,0.010561298546796489,负显著
20050427,-0.02887381056017384,0.39827595851146835,不显著
20050428,0.0031888657999008026,0.9252563499522026,不显著
20050429,-0.005290227545349215,0.871934904884793,不显著
20050509,-0.019290543508660465,0.558757244672326,不显著
20050510,-0.01220319861802913,0.7136013015342176,不显著
20050511,-0.022800042646130603,0.4808926906758141,不显著
20050512,-0.04613864206768057,0.1595301436777202,不显著
20050513,0.030548906198775524,0.34490259241569665,不显著
20050516,-0.042609566080412886,0.19300056237403454,不显著
20050517,0.02458726171996763,0.4433944987046704,不显著
20050518,-0.05372225412265889,0.09902514101287176,不显著
20050519,-0.05518934565171724,0.09168122535778382,不显著
20050520,-0.06235129337924395,0.05760382641236832,不显著
20050523,-0.020771859828832718,0.527616337595657,不显著
20050524,-0.018053347777257974,0.5846624055632006,不显著
20050525,-0.0022931446999878494,0.9445331160120243,不显著
20050526,-0.027202845637699986,0.41973164063906265,不显著
20050527,0.03908395955999128,0.23989646481492985,不显著
20050530,-0.027753044733041538,0.4014837879985004,不显著
20050531,0.01274613549061775,0.690845539458125,不显著
20050601,-0.046861506042265376,0.13766098813986338,不显著
20050602,-0.02146855693300616,0.500072913812076,不显著
20050603,-0.052102461568353395,0.10133671992388173,不显著
20050606,-0.06502411045289755,0.03805023654614042,负显著
20050607,-0.0060605876819922275,0.8479003833830454,不显著
20050608,0.042835977514700425,0.17763231729342094,不显著
20050609,-0.023173245376264303,0.4632838346912732,不显著
20050610,-0.017878566615097218,0.5773226531376279,不显著
20050613,-0.07444084158193226,0.018852184476793158,负显著
20050614,-0.0021859064040590354,0.9447394047554735,不显著
20050615,0.03988293809790271,0.20693917231694292,不显著
