,0
20050105,
20050106,-0.008017661156498851
20050107,0.00037325941337467994
20050110,0.06723293006834549
20050111,0.02559203080347757
20050112,0.015246545890172665
20050113,0.028013396776208364
20050114,-0.056908306420532205
20050117,-0.02978013306399707
20050118,-0.012108139868537444
20050119,0.05121626964094852
20050120,0.10008374135290811
20050121,-0.006538178840605375
20050124,-0.002583724195983998
20050125,0.06355061405212759
20050126,-0.032069355235456544
20050127,0.042085664202424815
20050128,0.00678426509991731
20050131,0.040964735233387436
20050201,0.00183945867675173
20050202,0.04770453671330076
20050203,-0.009644631708775182
20050204,-0.03130527110325306
20050216,0.010565497582725276
20050217,0.03398778227819909
20050218,0.011246149657745385
20050221,0.010563766961359881
20050222,-0.005510083784147684
20050223,0.07335281703534616
20050224,-0.00909601126679966
20050225,-0.04581664365106235
20050228,-0.046446850850152384
20050301,0.05267474305685693
20050302,-0.007120092291215949
20050303,0.012376382192885033
20050304,-0.03205689323687332
20050307,0.005882386893292518
20050308,0.06107942213512652
20050309,0.01621535241965436
20050310,-0.006627783954088028
20050311,-0.018595785216679348
20050314,-0.04764701800113145
20050315,-0.011114080061074194
20050316,0.049117433046496004
20050317,0.01844810956033776
20050318,-0.03220740110359145
20050321,0.017501995596721494
20050322,0.07366820500625765
20050323,0.03183235581864556
20050324,-0.059255907721008215
20050325,0.055553075313313965
20050328,-0.017739683097528543
20050329,-0.03510617248923374
20050330,-0.026911120930988682
20050331,-0.015075008497152913
20050401,0.025758636511169747
20050404,-0.0333889289752031
20050405,0.0611179265401463
20050406,-0.00011031344998152331
20050407,0.04005566821087218
20050408,0.024932564335724935
20050411,0.06340526834641613
20050412,0.03660220684974919
20050413,-0.015768141329242424
20050414,0.020745211541894102
20050415,0.05922467311349018
20050418,0.01966880518967573
20050419,0.02306547305328443
20050420,0.08796797373721836
20050421,-0.016496743496356592
20050422,-0.017639806377683667
20050425,0.013414071453457875
20050426,-0.07177834320789793
20050427,0.007817940683351817
20050428,-0.007948394795366147
20050429,-0.03150523473855468
20050509,0.02603317713827034
20050510,0.011700792388190096
20050511,0.03796192441889696
20050512,0.05696226723576083
20050513,-0.056300074569563534
20050516,-0.014929087390985066
20050517,0.014212346826479563
20050518,0.0009975608611568628
20050519,0.016679521865194957
20050520,0.009946269850008736
20050523,-0.04229479982115853
20050524,-0.07557285474166955
20050525,0.05974680646434421
20050526,-0.03745762256781427
20050527,0.02317635879659451
20050530,0.05324416157394053
20050531,-0.048663467497511353
20050601,0.016238398259526304
20050602,0.02631567794852114
20050603,6.979540861062769e-05
20050606,-0.03831771756396882
20050607,-0.011332916599498793
20050608,0.015385057494620158
20050609,-0.0004690333684845738
20050610,0.007748686967846667
20050613,0.002540232450918834
20050614,0.004694415776409298
20050615,-0.015937834470485676
20050616,-0.006366870919988404
20050617,0.044748967888596274
20050620,0.07097254477536168
20050621,-0.013970215156952282
20050622,-0.021379438219465828
20050623,0.03406748268233785
20050624,0.0034189183744988806
20050627,0.049193463705821824
20050628,-0.020075451550675995
20050629,-0.051880989763726695
20050630,0.049862574267024166
20050701,0.005940156214880299
20050704,0.048604473401889156
20050705,-0.044101783746143826
20050706,-0.0028146142472887424
20050707,0.018633914320893244
20050708,-0.006927818791117008
20050711,-0.004846024584578175
20050712,0.01766264844284564
20050713,-0.028782008005663193
20050714,0.006208544309710207
20050715,0.0031378185853737743
20050718,-0.006814892334483566
20050719,-0.08250311305547593
20050720,-0.007871544365181827
20050721,-0.020418018507380252
20050722,0.01935208547349358
20050725,0.04193526360775717
20050726,-0.008236853673534151
20050727,-0.006525074625218904
20050728,-0.014253232225422978
20050729,-0.0042445633225675905
20050801,-0.03921397937319596
20050802,0.03986886245051933
20050803,-0.006400507257573613
20050804,-0.00943490196328236
20050805,0.03263013831401823
20050808,0.01718794625340654
20050809,0.012147147296400299
20050810,-0.007075158287633597
20050811,-0.01834778796809563
20050812,-0.02008868130756741
20050815,-0.02779650082812688
20050816,0.07629251410237911
20050817,0.03042835907065671
20050818,0.011463402253267542
20050819,0.06128361446252812
20050822,0.06439180607064922
20050823,0.047268492761976734
20050824,0.015085624952143396
20050825,0.022739547413936433
20050826,-0.0019885982004704513
20050829,0.008592827216357644
20050830,-0.006017277425657261
20050831,0.05774033368632133
20050901,0.06059914712810995
20050902,0.07057078314486279
20050905,0.02577623621479691
20050906,0.020450797871635566
20050907,0.04983573504453369
20050908,0.012664946785823254
20050909,0.001005575037855331
20050912,0.004648116758816655
20050913,-0.029195306927170865
20050914,0.03699096504271265
20050915,0.05153904248809726
20050916,-0.04211141415437686
20050919,-0.05881363064585342
20050920,-0.011226800703134494
20050921,-0.00944056899605252
20050922,0.06548305302402554
20050923,0.003048117175746942
20050926,0.10164593085496909
20050927,0.014534927725466348
20050928,-0.016492862635916157
20050929,-0.04774084486715084
20050930,-0.0011201678070840483
20051010,-0.02042643240860422
20051011,0.010319099978129352
20051012,-0.03489868896656966
20051013,0.08000252450198007
20051014,0.022263563435655085
20051017,0.03736723936647534
20051018,0.03641412119578824
20051019,0.04943655748486709
20051020,-0.0322015775329998
20051021,0.046560039779764306
20051024,-0.04344664590545163
20051025,0.05997694871092688
20051026,0.03791892363146309
20051027,-0.0015273941897692035
20051028,0.03303240163165385
20051031,-0.019518930391668306
20051101,0.015020422960583667
20051102,-0.013048465237834247
20051103,0.03684820312020158
20051104,0.019118456749138545
20051107,-0.031050195158754457
20051108,-0.05950625823799876
20051109,-0.0017781835645299408
20051110,0.09270295947610659
20051111,-0.01058316810787106
20051114,-0.001406364855230248
20051115,0.01173588785936996
20051116,0.0319303870687154
20051117,0.010209022241740723
20051118,0.03600102952303104
20051121,0.010199119046989948
20051122,0.048153899622973485
20051123,-0.010466374629145238
20051124,-0.032769663602041074
20051125,0.029705722280799863
20051128,0.0036571444479524245
20051129,-0.03761121248769502
20051130,0.04004816672158856
20051201,0.07262495415906231
20051202,-0.010468243634907623
