,return,value
20050104,,1.0
20050105,,1.0
20050106,-0.00031783494870005376,0.9996821650512999
20050107,0.0042766777744653135,1.0039574835481042
20050110,-0.002506817099426668,1.0014407457612484
20050111,0.0002773583121443218,1.0017185036762053
20050112,0.0018509565673058555,1.0035726411191765
20050113,-0.0020680271855818555,1.001497225614636
20050114,0.001660225432111525,1.0031599367787905
20050117,-0.006488853327544184,0.9966505790849643
20050118,-0.0036407846704042696,0.9930219889348822
20050119,-0.0037109669433038252,0.9893369171599711
20050120,-0.007362872174611582,0.9820525559012979
20050121,0.00817261975463169,0.9900784980197433
20050124,-0.0025602752318794894,0.987543624563647
20050125,0.004915224168329272,0.9923976228543817
20050126,0.005439895770208944,0.9977961624853126
20050127,0.00704504205148512,1.004825678408832
20050128,0.007686264113293886,1.0125490339609022
20050131,-0.006847044067623997,1.0056160661047417
20050201,0.0012261464828713124,1.006849098707315
20050202,-0.00988414622385201,0.9968972549903383
20050203,0.006185330672384203,1.0030633941588458
20050204,0.006572075631814632,1.0096556026487624
20050216,-0.00421702417848035,1.0053978605604543
20050217,-0.0038629528265682377,1.0015140560531766
20050218,0.0006083111862430872,1.0021232882566535
20050221,-0.0002579272564181556,1.0018648133463208
20050222,-0.0014761566953721099,1.000385903894242
20050223,0.0005234138871619762,1.0009095197688613
20050224,0.007410598204467869,1.0083268580588953
20050225,0.0033332663443406407,1.0116878800389577
20050228,-0.00016780897816395454,1.0115181097295876
20050301,0.009587474411093862,1.021216013722978
20050302,0.0004736156693282388,1.021699677628846
20050303,0.005630789236644637,1.0274526531767219
20050304,0.0013315674158934435,1.0288207756510652
20050307,-0.002717641684165059,1.0260248094256208
20050308,-0.002207179215314707,1.0237601887918595
20050309,0.0006372212843095817,1.0244125505741863
20050310,-0.0020208948741463825,1.0223423205017197
20050311,-0.007582204589607012,1.014590711867062
20050314,-0.00523002938896955,1.0092843726262217
20050315,-0.0023360625560250436,1.0069266211949484
20050316,0.007336544644014912,1.0143139833045922
20050317,0.008938469119053653,1.0233803975213847
20050318,-0.0019936610209164915,1.0213401239132762
20050321,-0.008393898258329268,1.0127670988259987
20050322,-0.01454481197529504,0.9980365917988095
20050323,-0.00025192695995258484,0.9977851594743162
20050324,-0.0023050565486692313,0.995485208258305
20050325,0.0038903609863307565,0.9993580050749825
20050328,-0.008475638674865834,0.9908878077171323
20050329,0.008070280926104755,0.9988845506916617
20050330,-0.015056688803709382,0.9838446568610643
20050331,-0.007954268946704703,0.9760188918586129
20050401,0.001077502366447207,0.9770705545242876
20050404,0.0038393563627499693,0.980821876574656
20050405,0.001359307432531035,0.982155115041473
20050406,0.0018593232573280733,0.9839812588891733
20050407,-0.0034839423396124877,0.9805531249199442
20050408,-0.003472838566523029,0.9771478222111976
20050411,0.005013624692986584,0.9820468746613337
20050412,0.005791599387633668,0.9877344967392497
20050413,0.0028055505174709415,0.9905056357677003
20050414,-0.001738919201064195,0.9887832264989016
20050415,-0.0035791298638364923,0.9852442429240789
20050418,0.007616735699308905,0.9927485879216973
20050419,0.0031019424843228166,0.9958280369428231
20050420,-0.004281886937102696,0.991564013879837
20050421,0.0033604143373228527,0.9948960798084522
20050422,-0.0036964606422219843,0.9912184856063393
20050425,-0.0053481368373362315,0.9859173135096194
20050426,-0.004352475723227257,0.9816261323374593
20050427,-0.0006695660230587978,0.9809688688318996
20050428,-0.0006308358650002344,0.9803500384869918
20050429,0.007402323641857646,0.9876069067541801
20050509,0.004711098235470654,0.9922596199099282
20050510,-0.008019410610198154,0.9843022825859513
20050511,0.0009735934934787718,0.9852605928838932
20050512,0.0067318794817556185,0.9918932484533107
20050513,0.0003719331483768469,0.9922621664320618
20050516,0.002777350398091189,0.9950180261550128
20050517,0.0006063770467774031,0.995621382247203
20050518,-0.004147098608599032,0.9914924421981941
20050519,0.007337562293873204,0.9987675797567278
20050520,0.001961017190682342,1.0007261801501268
20050523,-0.005836068145958367,0.9948858739673261
20050524,-0.003013208338232872,0.9918880755562977
20050525,0.00406540912506098,0.9959205063897033
20050526,-0.005370936665931233,0.9905714804255821
20050527,0.009547063528217287,1.0000285292784454
20050530,0.0016593271026251154,1.0016879037204753
20050531,0.0012049086215121354,1.0028948461117326
20050601,-0.0032690287332885794,0.9996163540433263
20050602,0.006178640568020136,1.0057926242008748
20050603,-0.0016430033834924987,1.004140103516221
20050606,-0.0053578305532219934,0.9987600909898863
20050607,-0.003649203116653426,0.9951154125530569
20050608,-0.002034068050839735,0.9930912800854845
20050609,0.0011760774775261985,0.9942592323731207
20050610,0.0061975177894896365,1.0004211716531175
20050613,0.010595713776447427,1.0110213480438521
20050614,0.007472155191238516,1.018575856458091
20050615,0.0013604676534585275,1.0199615959633959
20050616,4.3044704902090586e-05,1.0200054999093056
20050617,-0.003589473038223512,1.0163442176685413
20050620,-0.006079866735108769,1.0101649802681183
20050621,0.004913708500460237,1.015128636518529
20050622,0.007008566206451626,1.0222432327756341
20050623,-0.0004956203317347824,1.0217365882454923
20050624,0.0013041491710975121,1.0230690851701325
20050627,-0.004892646176435382,1.0180635701223457
20050628,0.0015643863642881475,1.0196562148894237
20050629,0.003183033715544293,1.022901814999681
20050630,-0.00674528908234975,1.0160020465546478
20050701,-0.007881313608763298,1.0079946157986053
20050704,0.004587125527564817,1.012618413632383
20050705,0.0017576466569838734,1.0143982390019044
20050706,-0.0008759682861343215,1.0135096583150283
20050707,0.0036205929477669727,1.0171791642364174
20050708,-0.004912235508226587,1.012182540627627
20050711,-0.000538210043714616,1.0116377738181888
