dates,IC,pvalues,显著性
20050916,0.012021787573862786,0.7154451256106362,不显著
20050919,0.08905167843457282,0.007316806449402012,正显著
20050920,-0.02696832701523941,0.4211296959037165,不显著
20050921,-0.07006954889745667,0.03476414036725224,负显著
20050922,-0.15008121596476234,5.916133606815028e-06,负显著
20050923,0.07336010925096868,0.02543209456502174,正显著
20050926,-0.041727808494658056,0.20804034729466145,不显著
20050927,-0.0876651056173464,0.008145357446651603,负显著
20050928,0.08960563696748655,0.00737684427331225,正显著
20050929,-0.021576554744095693,0.5214919744330265,不显著
20050930,-0.023971928113829383,0.4728427922829572,不显著
20051010,0.058959056993904684,0.0774158650867173,不显著
20051011,-0.05157324913551485,0.11820423845772102,不显著
20051012,-0.03925830009952597,0.23522488434222324,不显著
20051013,0.03372591185344963,0.31461832856319616,不显著
20051014,0.06088187440398879,0.06883533435983971,不显著
20051017,0.005976287583355791,0.8580621934312503,不显著
20051018,-0.056625523220638546,0.09008921752017998,不显著
20051019,-0.019111099844246866,0.5721548237646162,不显著
20051020,-0.06567403395069639,0.05591469931162917,不显著
20051021,-0.029266522453991292,0.3969155503108913,不显著
20051024,0.03108587021480116,0.3642377338578897,不显著
20051025,-0.0134073547986829,0.6945952870968425,不显著
20051026,-0.024676058447478832,0.47142108560064133,不显著
20051027,0.06930490518511881,0.0489147454924513,正显著
20051028,-0.019326991282297076,0.5680429000874092,不显著
20051031,0.06961264495836543,0.03807888740136796,正显著
20051101,0.0035232167748461564,0.9148732074503463,不显著
20051102,-0.008206901827287031,0.8042000780742783,不显著
20051103,-0.06736438408413023,0.03966438230829804,负显著
20051104,-0.006795719920707584,0.8337878055716299,不显著
20051107,-0.061306144797330986,0.059581076734719136,不显著
20051108,-0.030151668709169036,0.3563058627899739,不显著
20051109,0.05342255665468682,0.10349506403662931,不显著
20051110,-0.05181477733059705,0.11029909916690671,不显著
20051111,-0.0694813963285206,0.034512233185829626,负显著
20051114,-0.08193616986008873,0.011835318544097577,负显著
20051115,0.015251508599284539,0.6446241502998371,不显著
20051116,-0.07642267461936768,0.019761095121290012,负显著
20051117,0.05911057715333841,0.07343978145064788,不显著
20051118,-0.0874001419258013,0.008198991628036688,负显著
20051121,-0.07107224919512319,0.03253047379953488,负显著
20051122,0.06032269711814559,0.06682661008875142,不显著
20051123,-0.01667123811243831,0.6154905035119913,不显著
20051124,-0.06914086645406144,0.03672656078054882,负显著
20051125,-0.04565626591540991,0.1711562246741288,不显著
20051128,-0.02057903861384381,0.535255216054311,不显著
20051129,0.026796326227976796,0.41868150138095606,不显著
20051130,-0.013005150695902542,0.6918832772569592,不显著
20051201,0.009996387445551631,0.7630501874255942,不显著
20051202,-0.09332341163063618,0.0046116931267456565,负显著
20051205,0.005280092783157746,0.8729310776810171,不显著
20051206,0.07129332896856894,0.030781362814033368,正显著
20051207,0.005686235660947037,0.862881227189944,不显著
20051208,-0.02376592156216411,0.47323467212617765,不显著
20051209,0.020229142704443114,0.5424421150537719,不显著
20051212,0.0670638312098365,0.04066524729787158,正显著
20051213,-0.04972393858560679,0.1301172455875039,不显著
20051214,-0.029275552656397544,0.37302961551601355,不显著
20051215,-0.005442170194288282,0.8705589395614072,不显著
20051216,-0.05463804189880437,0.10197634559774832,不显著
20051219,0.017540216934367487,0.6002439378459572,不显著
20051220,-0.06638513843907658,0.044109964895545827,负显著
20051221,0.014393697852510165,0.6673489250816189,不显著
20051222,-0.05846075434444762,0.08446894652922642,不显著
20051223,-0.06235402593719459,0.0712156165504429,不显著
20051226,0.0030660853473585175,0.9283751447342721,不显著
20051227,-0.0749148474901125,0.027489259425520624,负显著
20051228,-0.054313988494531784,0.11725534133384398,不显著
20051229,-0.03224580287045556,0.3529127326218088,不显著
20051230,-0.04478220843911802,0.20072603362803068,不显著
20060104,-0.06153029732438478,0.06808889682297407,不显著
20060105,-0.06912913179597444,0.04103083028226136,负显著
20060106,-0.022502505599562777,0.5096320051015113,不显著
20060109,-0.0151586470523185,0.6535695704854372,不显著
20060110,-0.09701815190896584,0.0036316551381769258,负显著
20060111,-0.13587086875137777,5.474408222521619e-05,负显著
20060112,-0.09722981183304291,0.0038685020169229958,负显著
20060113,-0.05233293871787183,0.11977570919466372,不显著
20060116,0.04795626463616804,0.15148419932582785,不显著
20060117,-0.0867695380252879,0.00936125067831366,负显著
20060118,0.00569194766744168,0.8667839597572959,不显著
20060119,-0.06380030944795177,0.06767677119006295,不显著
20060120,-0.03576497224680778,0.31264189741075504,不显著
20060123,-0.08344141417585084,0.02158976744287423,负显著
20060124,0.1883336649307387,1.1868012503889375e-07,正显著
20060125,0.0009524292415721979,0.9780370187517347,不显著
20060206,-0.12464253386179175,0.0002399499253005245,负显著
20060207,-0.17116504640527389,3.3046364997288315e-07,负显著
20060208,-0.06106154980892586,0.07450991656236403,不显著
20060209,0.0319193241513367,0.35464290639230245,不显著
20060210,0.019860490226446842,0.5608131309716333,不显著
20060213,-0.055676957147321224,0.10518872298935866,不显著
20060214,-0.12041491714133681,0.0003572180504239109,负显著
20060215,-0.004068504415908776,0.9056066245411967,不显著
